observation_date,CPIAUCSL
2/1/2014,1.320207849
3/1/2014,2.447967768
4/1/2014,2.234940201
5/1/2014,2.281436978
6/1/2014,1.584312335
7/1/2014,1.349822883
8/1/2014,-0.192016979
9/1/2014,0.085906131
10/1/2014,-0.237520189
11/1/2014,-2.261321501
12/1/2014,-3.70725199
1/1/2015,-7.668832191
2/1/2015,3.037724266
3/1/2015,3.228395516
4/1/2015,1.250323071
5/1/2015,3.950783645
6/1/2015,3.316916606
7/1/2015,1.902075485
8/1/2015,-0.005041307
9/1/2015,-2.700140562
10/1/2015,1.186791362
11/1/2015,1.432685404
12/1/2015,-1.291358699
1/1/2016,-0.550258417
2/1/2016,-1.596672151
3/1/2016,3.755871611
4/1/2016,4.587992308
5/1/2016,2.833566949
6/1/2016,3.326533721
7/1/2016,-0.604593172
8/1/2016,2.217016896
9/1/2016,3.143730222
10/1/2016,2.807937221
11/1/2016,1.413903964
12/1/2016,3.025609087
1/1/2017,4.841910508
2/1/2017,1.909668508
3/1/2017,-0.560772959
4/1/2017,1.480070257
5/1/2017,-0.929133163
6/1/2017,0.781699733
7/1/2017,0.393115567
8/1/2017,4.609486979
9/1/2017,6.112075831
10/1/2017,0.929702457
11/1/2017,3.197345537
12/1/2017,2.525607439
1/1/2018,5.093189354
2/1/2018,3.226403863
3/1/2018,0.230812694
4/1/2018,3.121225279
5/1/2018,2.706485333
6/1/2018,1.080887261
7/1/2018,0.936618981
8/1/2018,2.142870496
9/1/2018,2.472189742
10/1/2018,2.804217106
11/1/2018,-0.845327975
12/1/2018,0.821590934
1/1/2019,-0.978374496
2/1/2019,3.596112441
3/1/2019,4.5295919
4/1/2019,4.50315537
5/1/2019,0.296163393
6/1/2019,-0.390198805
7/1/2019,2.766260532
8/1/2019,1.097222244
9/1/2019,1.845195947
10/1/2019,3.387951665
11/1/2019,3.373760071
12/1/2019,3.489583473
1/1/2020,2.303784143
2/1/2020,0.569469721
3/1/2020,-5.446478307
4/1/2020,-9.542014223
5/1/2020,-1.078474734
6/1/2020,5.802945534
7/1/2020,6.100200566
8/1/2020,4.469278909
9/1/2020,3.147236709
10/1/2020,1.48525146
11/1/2020,2.725861157
12/1/2020,5.204270084
1/1/2021,2.936357548
2/1/2021,4.067908719
3/1/2021,6.27541446
4/1/2021,7.46312898
5/1/2021,7.935774356
6/1/2021,10.11142509
7/1/2021,5.524959212
8/1/2021,3.406670558
9/1/2021,5.41836972
10/1/2021,11.5104614
11/1/2021,10.23573678
12/1/2021,8.25779836
1/1/2022,7.233402805
2/1/2022,8.283002608
3/1/2022,13.31356919
4/1/2022,3.694329017
5/1/2022,11.32835531
